lake_id,arc1,arc2,arc3,arc4,arc5,arc6,arc7,arc8
1150000822,0.08186776,0.033401817,0.06867751,0.21699212,0.1755944,0.0929303,0.29769656,0.03283952
1150001092,0.04811004,0.052066945,0.12939279,0.055549398,0.18656908,0.21780738,0.09428042,0.21622397
1150002502,0.06590119,0.08680664,0.08548211,0.040064767,0.15482318,0.008102431,0.3904698,0.16834982
1150002592,0.036748543,0.04011803,0.12440195,0.013947621,0.35360596,0.15087792,0.13791811,0.14238188
1150003802,0.034542818,0.032085646,0.15619,0.111684695,0.18986955,0.2273935,0.06919904,0.1790347
1150004092,0.11866204,0.14167191,0.18908194,0.23266251,0.036037292,0.09884338,0.12983076,0.05321012
1150005262,0.056463607,0.22517538,0.03779594,0.19849284,0.15419409,0.22399753,0.026206322,0.077674344
1150005972,0.20425603,0.08674343,0.09898693,0.14305,0.08558503,0.09501118,0.032818727,0.2535486
1150007303,0.03271973,0.23463608,0.042310055,0.16693746,0.17674345,0.13571347,0.062410265,0.14852948
1150007432,0.027788533,0.13907927,0.03224979,0.0873855,0.106665045,0.3831544,0.18564257,0.038034942
1150008142,0.053246014,0.059490986,0.20046183,0.06613797,0.06781967,0.055994425,0.43879366,0.0580555
1160000282,0.20892943,0.065282375,0.20002295,0.11546107,0.16595595,0.1169522,0.048790686,0.07860534
1170006442,0.056132533,0.17524102,0.19307427,0.07344088,0.3261834,0.03070244,0.04988532,0.09534017
1170013163,0.21496874,0.099365,0.20494285,0.050734263,0.19474061,0.13793772,0.03202736,0.06528344
1170013972,0.023272054,0.025000013,0.33137497,0.13549505,0.09599063,0.069353506,0.19852298,0.12099079
1170014783,0.30262312,0.047851227,0.082691774,0.026181081,0.035116717,0.29042932,0.15275131,0.062355492
1220005463,0.07027732,0.10616234,0.13821,0.20291002,0.094700724,0.0797647,0.11831124,0.18966366
1220013612,0.11273313,0.36071843,0.096322306,0.18489975,0.028434187,0.06893992,0.055958066,0.09199412
1220053053,0.09194986,0.1408107,0.12413542,0.09195259,0.08400066,0.26535273,0.15583602,0.04596199
1220056833,0.17883906,0.10014042,0.19181877,0.05342097,0.23105344,0.04965939,0.05649353,0.1385744
