lake_id,arc1,arc2,arc3,arc4,arc5,arc6,arc7,arc8,arc9,arc10
1150000822,0.0153812235,0.021070167,0.032796055,0.1421255,0.5852711,0.05287872,0.019683454,0.05158246,0.055526696,0.023684623
1150001092,0.016274381,0.017927509,0.030378785,0.0640432,0.70858324,0.044633497,0.017181125,0.034605563,0.047812287,0.018560424
1150002502,0.0118962545,0.028077323,0.049731832,0.4043523,0.10184576,0.112040706,0.0282212,0.11621368,0.10856447,0.039056465
1150002592,0.012737703,0.019445779,0.029785804,0.14853464,0.5900446,0.05331375,0.019706571,0.051434334,0.054358233,0.02063863
1150003802,0.012763565,0.029713456,0.052046757,0.43819752,0.037431687,0.118436836,0.029235972,0.124492094,0.115109056,0.042573083
1150004092,0.012655453,0.027508892,0.048457257,0.36766618,0.16560094,0.103894055,0.026982076,0.10779626,0.10222924,0.037209697
1150005262,0.020990983,0.01944647,0.029273849,0.1394267,0.6221087,0.036032215,0.019987207,0.049198,0.033275858,0.030260038
1150005972,0.012577566,0.028999558,0.050277073,0.4359763,0.046545267,0.11733811,0.029210318,0.1236829,0.11313287,0.04226001
1150007303,0.019564405,0.029433852,0.02767115,0.26033083,0.384523,0.06636468,0.023839634,0.07657999,0.07176136,0.03993115
1150008142,0.020022286,0.018717272,0.027526688,0.012737986,0.78875625,0.034338873,0.015692668,0.022287326,0.03986419,0.020056495
1160000282,0.026447427,0.035629224,0.03330341,0.26594603,0.3524327,0.062373675,0.022786783,0.08271928,0.06767932,0.050682172
1170006442,0.02629458,0.017549725,0.004320742,0.033465207,0.8474307,0.010425459,0.01853113,0.007097886,0.0046958565,0.030188765
1170013163,0.0139021,0.0145912655,0.020234834,0.17419736,0.62274414,0.033322323,0.02113336,0.04405858,0.028417705,0.0273983
1170013972,0.019797819,0.014505888,0.018485345,0.009417281,0.83432174,0.028163407,0.015192172,0.015241912,0.024307363,0.020567125
1170014783,0.01697131,0.01509525,0.03209129,0.11635026,0.65158874,0.044181842,0.01814935,0.042362534,0.04139189,0.02181758
1220005463,0.025309542,0.024712974,0.034339085,0.14775869,0.5188496,0.069461346,0.02329998,0.055224027,0.063251995,0.037792757
1220013612,0.027697358,0.023901623,0.0037817634,0.049286373,0.81826985,0.006394291,0.01914581,0.010790917,0.0066575473,0.034074407
1220053053,0.029805955,0.032755196,0.057873968,0.25501806,0.12666453,0.16839327,0.028039811,0.09423824,0.15492606,0.052284926
1220056833,0.016731478,0.023277983,0.035537668,0.20978345,0.48533887,0.055287447,0.021853454,0.06859136,0.052675363,0.030922912
1220056903,0.02753305,0.03164707,0.05391454,0.26432207,0.19844311,0.12719065,0.023950476,0.09448344,0.124847546,0.053668045
1230003032,0.0010795668,0.12701136,0.00037922114,0.00054742687,0.00057982106,0.20999037,0.092956565,0.5653425,0.0010242824,0.0010889125
1230009732,0.020187465,0.015695924,0.02111989,0.045410182,0.77331007,0.034597274,0.01587857,0.021570312,0.029915541,0.022314673
1240009142,0.015607597,0.030473733,0.04364639,0.38649473,0.1331385,0.10647092,0.02747691,0.10898837,0.10300069,0.04470216
1240018052,0.0034329402,0.0030808076,0.0034897092,0.006309388,0.041746866,0.43370533,0.017346988,0.18216628,0.25980926,0.0489124
1240019053,0.037194107,0.015438002,0.018013123,0.009465331,0.60603344,0.12464466,0.020697607,0.060015883,0.05598791,0.052509908
1250034252,0.013648613,0.022530496,0.036992375,0.1880217,0.4958101,0.06538307,0.020963373,0.063969016,0.06727758,0.025403673
1250051122,0.029351903,0.04907116,0.04401271,0.054017674,0.48052436,0.098244905,0.022342738,0.065075874,0.11913267,0.038225934
1270003322,0.021121904,0.021796688,0.022338124,0.06989631,0.74703497,0.018753394,0.017775774,0.031616844,0.023913845,0.02575214
1270024123,0.010749426,0.021219293,0.026564961,0.09190051,0.6833162,0.045138508,0.018016804,0.038251784,0.05095433,0.013888213
1270028303,0.019508507,0.021187915,0.023620922,0.051188473,0.7273882,0.042361617,0.017064184,0.030835945,0.046249617,0.02059459
1270040752,0.017804291,0.019767717,0.028477019,0.102150805,0.68191713,0.03264014,0.018210886,0.04120887,0.03498579,0.02283737
1270041163,0.019105295,0.021832362,0.023780381,0.0894398,0.72522527,0.019287344,0.017392732,0.03592635,0.024453966,0.023556555
1270045763,0.017279496,0.014877366,0.027939439,0.010448259,0.8240342,0.025799239,0.015778929,0.022722814,0.025653915,0.015466261
1270054173,0.018641682,0.019455438,0.030938951,0.019740824,0.7567298,0.0432925,0.016308468,0.028752726,0.04640823,0.019731374
1310000402,0.019948158,0.027380625,0.034041762,0.3732859,0.18207239,0.104528435,0.014708765,0.102880865,0.09565996,0.045493208
1310005562,0.039873812,0.040393922,0.11706753,0.022878485,0.3449692,0.16031091,0.004920801,0.102055416,0.13441156,0.033118315
1320012743,0.015793651,0.017344287,0.03109111,0.016598087,0.7784996,0.036967028,0.014928373,0.024191005,0.042259235,0.02232758
1320015733,0.019721668,0.030537605,0.015425496,0.16646516,0.57074815,0.03994009,0.021366572,0.04262557,0.051142037,0.0420276
1320015883,0.010779261,0.027779886,0.0525887,0.4302711,0.052755054,0.113514654,0.02868913,0.12241893,0.12043891,0.04076439
1320018042,0.024544705,0.018765358,0.010252526,0.026658377,0.83791524,0.01324356,0.017639471,0.010558948,0.012508396,0.027913386
1320022222,0.017660512,0.020533992,0.028191935,0.093840055,0.66826683,0.044173215,0.018214162,0.038640507,0.04663672,0.023842072
1320023692,0.014168594,0.026636623,0.043024857,0.2992256,0.2899203,0.08896249,0.024664557,0.090360716,0.08815237,0.034883805
1320023702,0.021987844,0.03364835,0.024361312,0.32002875,0.34032378,0.049612526,0.026360989,0.08330057,0.053097382,0.0472785
1320026362,0.010456677,0.028291529,0.052786198,0.4541214,0.008486719,0.12793563,0.029419828,0.12752889,0.11988065,0.04109241
1320028172,0.022481121,0.023075711,0.0045768865,0.018827908,0.85312426,0.00995254,0.017243516,0.005074597,0.019771136,0.025872312
1320029763,0.014894559,0.01694252,0.03552303,0.11249177,0.62266606,0.057629183,0.018260058,0.046691693,0.053133026,0.021768121
1320030072,0.01867034,0.025142618,0.026492603,0.1024881,0.6649214,0.034476355,0.017296359,0.040518545,0.04253588,0.027457828
1320031272,0.019775957,0.018751439,0.022936245,0.11054704,0.71901894,0.013491821,0.01871407,0.03842147,0.010854429,0.02748853
1320031292,0.021856083,0.020814816,0.013873248,0.016207324,0.8039837,0.03169582,0.016578041,0.0118156755,0.036497846,0.026677573
1320035402,0.012634812,0.020662596,0.015902245,0.036500093,0.80873585,0.023773309,0.017660286,0.017259445,0.035259537,0.01161177
1320035532,0.021282228,0.023274362,0.018769795,0.021882748,0.8148693,0.015108185,0.016078576,0.018837554,0.026718333,0.023179045
1320036032,0.023825478,0.033957984,0.025924861,0.20749275,0.47379753,0.04941185,0.02110057,0.06190201,0.059977636,0.042609345
1320036142,0.023285327,0.03287001,0.02694374,0.26919824,0.36906546,0.06440433,0.025178432,0.073914066,0.06823396,0.04690645
1320037342,0.021306945,0.017190667,0.021212459,0.083739385,0.7501713,0.01945945,0.017418956,0.030500349,0.011079582,0.027920935
1320038493,0.02137479,0.022342088,0.019419933,0.06788947,0.73345494,0.030095791,0.017385539,0.02695742,0.031783186,0.029296843
1320040872,0.019769326,0.019051483,0.02721523,0.03000582,0.77197665,0.0316672,0.01636589,0.025542285,0.037802868,0.02060316
1330006212,0.0012663086,0.103694916,0.09343928,0.01945835,0.019833263,0.001521218,0.0033597318,0.11086786,0.38304543,0.26351368
1330007723,0.0018601014,0.15352045,0.07850118,0.021378823,0.017979117,0.0036079194,0.0026953332,0.11658512,0.37070292,0.23316905
1330010923,0.017389404,0.018894037,0.030927211,0.044104896,0.73759,0.037765235,0.01674058,0.030737203,0.047506865,0.018344533
1330014893,0.021301707,0.01454323,0.021524357,0.09766899,0.69612193,0.028278733,0.022091825,0.031766884,0.036991823,0.029710531
1330015103,0.019346625,0.027344154,0.03565027,0.22445452,0.41679776,0.064023376,0.023792684,0.07082459,0.08051482,0.037251253
1420040083,0.008981856,0.011558389,0.027545359,0.019413624,0.79439497,0.03178835,0.020600755,0.01759656,0.06294318,0.0051769656
1420043703,0.034767684,0.01866262,0.045377165,0.013133818,0.75597066,0.0025588842,0.016207997,0.030903671,0.040952437,0.041464966
1420045233,0.019622086,0.024608342,0.025050176,0.010822277,0.8194849,0.007065991,0.017128497,0.024642043,0.021965323,0.029610302
1420049113,0.024203464,0.01712873,0.025448147,0.04358125,0.77613366,0.016687736,0.019556653,0.02497196,0.032320604,0.01996779
1430002253,0.0238219,0.031033618,0.0518284,0.090394296,0.58042514,0.02538209,0.0198447,0.053664252,0.0959026,0.027702998
1430002872,0.32811978,0.0027870159,0.26310578,0.0008382544,0.000706729,0.16148488,0.00022789811,0.23214619,0.0022704275,0.008313063
1430004273,0.045581736,0.0098092435,0.062783755,0.029498426,0.6133594,0.020761753,0.02511358,0.06224012,0.08201957,0.04883239
1430004323,0.59355867,0.000398187,0.081377484,0.0006594995,0.00085269386,0.00037109497,0.0042618657,0.00026201198,0.19994208,0.11831623
1440001863,0.018490458,0.019855944,0.027664166,0.20797925,0.46237433,0.033979908,0.024100978,0.077125564,0.08461436,0.043815147
1440005913,0.016929116,0.023973761,0.05099353,0.42324114,0.104596496,0.08654634,0.03190083,0.1165087,0.10467186,0.04063818
1440011113,0.021621406,0.018352203,0.025724597,0.025349649,0.7822718,0.025398541,0.01718387,0.023197671,0.03773363,0.023166599
1450003703,0.01574304,0.028333586,0.049777705,0.20950592,0.4914563,0.019477993,0.023313995,0.06292917,0.06447375,0.034988523
1450007622,0.019256877,0.032810707,0.056420304,0.08014613,0.593681,0.025677707,0.023307554,0.053600397,0.10721998,0.007879258
1450009543,0.011605592,0.005724432,0.060232926,0.041291658,0.71623546,0.002822322,0.02322993,0.050779786,0.06358252,0.024495337
1450009923,0.3922698,0.00051379326,0.13052268,0.023442846,0.0017306252,0.003512342,0.000124852,0.077678055,0.19624496,0.17396
1450011142,0.99809927,1.337416e-05,2.8954879e-05,0.0001269503,6.617751e-05,1.8618966e-05,2.7406191e-05,4.9708855e-05,0.0015545607,1.5183191e-05
1450012863,0.016897224,0.020729449,0.04039906,0.43409124,0.14859933,0.046911128,0.033911973,0.1107554,0.09330648,0.054398738
1450014203,0.389507,0.00013292488,0.03822255,0.0011102984,0.0006088432,0.000120187964,0.054126233,0.0011350065,0.25800446,0.2570325
1460002782,0.03617463,0.009944236,0.035297703,0.15433632,0.5231963,0.028446645,0.03832622,0.057093974,0.10238797,0.014796069
1460009393,0.010189542,0.028801437,0.05740729,0.5391193,0.034792367,0.008641861,0.036369495,0.14702936,0.076704055,0.060945265
1510001923,0.015752064,0.020160148,0.03739889,0.08294593,0.6723168,0.04421858,0.01836067,0.03942111,0.048248183,0.02117761
1510006093,0.0047464645,0.018502725,0.035400286,0.28484198,0.4905646,0.052095514,0.021764785,0.047385775,0.015431188,0.029266668
1510006393,0.0015938496,0.005333087,0.0062944894,0.36525247,0.42854726,0.094702356,0.026069123,0.0024613128,0.006700267,0.063045725
1530011512,0.016238997,0.041082207,0.06629819,0.17013052,0.61953783,0.005330423,0.023246758,0.025306772,0.003515537,0.02931281
1620001552,0.014293906,0.021060757,0.04032056,0.21703279,0.4518731,0.064409316,0.022279447,0.0710464,0.072401814,0.025281886
