lake_id,arc1,arc2,arc3,arc4,arc5,arc6
1150000822,0.11548273,0.050545167,0.10057933,0.14978832,0.40348467,0.18011981
1150001092,0.06862574,0.18675731,0.020393303,0.5170182,0.15103589,0.05616953
1150002502,0.20164222,0.19312824,0.41517285,0.050274175,0.018076114,0.121706426
1150002592,0.09327533,0.044268712,0.33096135,0.078075185,0.25062233,0.20279716
1150003802,0.05023484,0.25092152,0.39215595,0.12174905,0.11551857,0.06942
1150004092,0.086153984,0.2683091,0.039550763,0.082473576,0.1169936,0.40651903
1150005262,0.18961933,0.28870702,0.08041005,0.30154324,0.05331081,0.086409576
1150005972,0.05486021,0.13033684,0.30164975,0.21518481,0.17786811,0.12010025
1150007303,0.10784383,0.045336716,0.2905253,0.24716893,0.25814855,0.05097665
1150007432,0.019121615,0.11785506,0.4958734,0.2202408,0.050704494,0.09620464
1150008142,0.1293857,0.08210674,0.18271187,0.013044667,0.13291924,0.45983183
1160000282,0.18589985,0.13833979,0.31877896,0.13683932,0.07228169,0.14786044
1170006442,0.02835294,0.3214595,0.18531404,0.19062576,0.21198916,0.06225853
1170013163,0.04580374,0.20804535,0.3592985,0.2018805,0.10676378,0.07820802
1170013972,0.056465566,0.40597537,0.052849934,0.067265175,0.062691405,0.3547526
1170014783,0.21505733,0.12580892,0.12964669,0.144448,0.31447425,0.07056484
1220005463,0.23870458,0.12069073,0.09012574,0.13646835,0.15307382,0.26093674
1220013612,0.039238047,0.0817075,0.17682911,0.1905098,0.28130397,0.23041156
1220053053,0.2999606,0.19883768,0.08793934,0.14679435,0.12905978,0.1374082
1220056833,0.1993112,0.3397737,0.2647385,0.08974293,0.04886245,0.05757121
1220056903,0.1832085,0.17042288,0.22563419,0.14560698,0.12487031,0.15025717
1230003032,0.06769024,0.08781877,0.19055246,0.32151544,0.16227236,0.17015071
1230009732,0.24534535,0.06606138,0.0038356953,0.6073885,0.023793599,0.053575512
1240009142,0.21080749,0.18750012,0.2034464,0.107679896,0.23382841,0.056737702
1240018052,0.04722888,0.13585962,0.13491145,0.3064707,0.06390882,0.3116205
1240019053,0.17905772,0.04577659,0.47157764,0.045040477,0.12584554,0.13270204
1250034252,0.042009562,0.033345252,0.7980559,0.023267481,0.037718266,0.06560354
1250051122,0.05295518,0.24710566,0.06698862,0.19655246,0.05536853,0.38102955
1250064892,0.23604824,0.13979347,0.12445919,0.11197627,0.30563504,0.082087845
1270003322,0.21579564,0.19694546,0.18161525,0.03840561,0.28043166,0.086806364
1270024123,0.08530631,0.13366468,0.20807284,0.058528412,0.12149747,0.39293027
1270028303,0.30664545,0.035978563,0.21511298,0.122496575,0.2849767,0.03478979
1270040752,0.14840701,0.24158765,0.32800505,0.026498094,0.04664443,0.20885788
1270041163,0.048224002,0.4612511,0.33879787,0.021635173,0.040684763,0.08940704
1270045763,0.2068302,0.18967165,0.12095858,0.099352546,0.067406245,0.3157808
1270054173,0.09299633,0.11599631,0.2785755,0.122801594,0.28282353,0.10680677
1310000402,0.07935874,0.09490444,0.27534658,0.27652296,0.10355888,0.17030837
1310005562,0.047698904,0.18983623,0.4208681,0.03742195,0.1606683,0.14350665
1320012743,0.05115785,0.21746132,0.528368,0.07169957,0.005864077,0.12544908
1320015733,0.082457736,0.33087274,0.41970807,0.009892464,0.06692419,0.09014483
1320015883,0.26682243,0.14548133,0.1998604,0.15125063,0.1720755,0.06450974
1320018042,0.13303733,0.11681002,0.22855206,0.42010614,0.03338904,0.06810541
1320022222,0.6019205,0.009761821,0.13513003,0.013421051,0.15759589,0.08217068
1320023692,0.10696162,0.1673933,0.40342185,0.08612038,0.12913516,0.10696768
1320023702,0.3311108,0.11022808,0.048846107,0.0920147,0.3472331,0.07056727
1320026362,0.38622588,0.07216844,0.060120415,0.0826216,0.21847041,0.18039323
1320028172,0.034397226,0.072692476,0.049122527,0.273621,0.15329452,0.41687226
1320029763,0.16363494,0.042984057,0.31598046,0.15348463,0.14658193,0.17733389
1320030072,0.08419857,0.12641366,0.34194753,0.16957846,0.12961954,0.14824225
1320031272,0.13473563,0.5339719,0.065197915,0.15353164,0.057044085,0.05551881
1320031292,0.074727334,0.1947851,0.2577798,0.072168455,0.35986552,0.040673684
1320035402,0.10076816,0.30707377,0.13655442,0.12613909,0.14416967,0.1852949
1320035532,0.12670234,0.1503892,0.33942375,0.112718284,0.14959837,0.12116801
1320036032,0.12796596,0.12912343,0.18721479,0.12625495,0.1590876,0.27035332
1320036142,0.12630355,0.15633743,0.17842811,0.104916826,0.10273515,0.33127895
1320037342,0.13357276,0.13382524,0.11825771,0.09050237,0.12003387,0.4038081
1320038493,0.022581352,0.036694996,0.53282946,0.19025567,0.013709788,0.20392874
1320040872,0.16632356,0.14595772,0.3068533,0.06577744,0.19141062,0.12367733
1330003052,0.34960097,0.03471877,0.15853496,0.014966036,0.26327193,0.17890738
1330003162,0.26740706,0.2685354,0.092251405,0.12631652,0.040845655,0.20464395
1330006212,0.042492047,0.14151159,0.07822701,0.2716725,0.33494473,0.13115212
1330007723,0.17426264,0.14853212,0.09651284,0.12908018,0.18332103,0.26829123
1330008533,0.104933985,0.11864515,0.11187725,0.09815644,0.16689414,0.399493
1330008622,0.020731883,0.08641571,0.12970255,0.039363474,0.2739357,0.44985065
1330010923,0.5892383,0.09086885,0.037230033,0.07642021,0.057485074,0.14875749
1330014893,0.28223434,0.0723481,0.13179554,0.05318312,0.39360654,0.06683232
1330015103,0.24971691,0.07076388,0.12903777,0.23128507,0.12411267,0.1950837
1420040083,0.16424355,0.30234936,0.2704583,0.028242324,0.12988278,0.10482366
1420043703,0.005807407,0.16952583,0.5055056,0.10713054,0.1459994,0.06603118
1420045233,0.28407323,0.17851444,0.1501408,0.1276906,0.1958291,0.06375183
1420049113,0.09223526,0.10032855,0.22348605,0.24142146,0.13889508,0.2036336
1430002253,0.25754,0.20463113,0.29507706,0.13580447,0.07081186,0.036135476
1430002872,0.07747338,0.08305561,0.07006883,0.25071195,0.33072823,0.18796204
1430004273,0.021500694,0.45461333,0.2574199,0.033410113,0.1557103,0.07734566
1430004323,0.07313499,0.055906355,0.13802394,0.3714731,0.18014377,0.18131785
1430005083,0.12135472,0.10472695,0.25951105,0.23019257,0.058588978,0.22562572
1440001863,0.19252177,0.103466295,0.10730032,0.2836535,0.20091167,0.11214651
1440005913,0.022116337,0.19625807,0.07986883,0.084747136,0.46119952,0.15581006
1440011113,0.049851183,0.17369421,0.13792875,0.5360029,0.09855111,0.0039719045
1450003703,0.19656292,0.090455174,0.09194718,0.48050535,0.044507027,0.09602244
1450007622,0.08285517,0.46257022,0.21621282,0.043852482,0.025930123,0.1685792
1450009233,0.15448536,0.20303816,0.039227247,0.26676336,0.20728335,0.12920256
1450009543,0.23628244,0.024831448,0.613645,0.023968097,0.057588257,0.0436848
1450009923,0.21156949,0.15222727,0.22806601,0.048700564,0.17802194,0.18141478
1450011142,0.03948436,0.451322,0.11957727,0.011416862,0.24457781,0.13362181
1450012863,0.1918057,0.23024091,0.35636556,0.08042638,0.052579593,0.08858176
1450014203,0.20966133,0.09753239,0.07617166,0.13928194,0.18001623,0.2973365
1460002782,0.20317928,0.061766062,0.40636134,0.10068748,0.14308812,0.084917754
1460009393,0.16279341,0.037028264,0.04584275,0.63290787,0.03166882,0.08975892
1510001923,0.16264012,0.14257519,0.24116062,0.1878248,0.070342086,0.19545709
1510006093,0.24103767,0.12429985,0.11387962,0.18635242,0.044089284,0.29034117
