lake_id,arc1,arc2,arc3,arc4,arc5,arc6,arc7
1150000822,0.02914356,0.047341753,0.18240899,0.25299516,0.23886155,0.17544462,0.07380441
1150001092,0.13026649,0.02499571,0.18831584,0.36290005,0.1701372,0.07831513,0.045069657
1150002502,0.45477498,0.052573957,0.055497352,0.022713142,0.12340072,0.145586,0.14545396
1150002592,0.04984237,0.12377664,0.032248147,0.04446792,0.071795225,0.018191973,0.6596777
1150003802,0.11079337,0.09523829,0.12491871,0.34057248,0.07431171,0.13897178,0.11519362
1150004092,0.01546542,0.09691083,0.10009235,0.40177554,0.19317731,0.09173161,0.10084698
1150005262,0.08840353,0.18902774,0.21646133,0.104067564,0.065915376,0.13246924,0.20365524
1150005972,0.1006834,0.17614588,0.28640452,0.04897435,0.07417431,0.13399327,0.17962435
1150007303,0.07656175,0.37244147,0.090635896,0.111182466,0.11106426,0.16174337,0.07637079
1150007432,0.119544536,0.11766714,0.014313628,0.21505211,0.37964225,0.12534855,0.028431695
1150008142,0.22144598,0.027255554,0.23286083,0.034855213,0.34915516,0.030683948,0.10374324
1160000282,0.15513359,0.18908365,0.16377434,0.12790269,0.10940027,0.12573504,0.12897043
1170006442,0.115876615,0.40261623,0.18651679,0.16010936,0.004986093,0.07139016,0.0585048
1170013163,0.018305195,0.16728307,0.025999758,0.04675784,0.20414396,0.1860851,0.35142514
1170013972,0.045229796,0.023817915,0.38134667,0.16828305,0.065331526,0.09013133,0.22585966
1170014783,0.11410969,0.17434308,0.26900354,0.09165073,0.13814147,0.15294975,0.0598018
1220005463,0.22649087,0.1781055,0.12731497,0.101865634,0.08600121,0.15668637,0.123535395
1220013612,0.13578945,0.04738948,0.30242884,0.033518802,0.42608488,0.041183688,0.013604863
1220053053,0.10623788,0.14790925,0.15847991,0.10929271,0.16842254,0.18612076,0.12353699
1220056833,0.09782803,0.1953534,0.08514202,0.2465303,0.04000077,0.15894225,0.17620322
1220056903,0.1314678,0.104801804,0.15220547,0.15684469,0.14858605,0.106475994,0.19961818
1230003032,0.10873703,0.13059387,0.024958275,0.14571497,0.1294711,0.37507677,0.08544798
1230009732,0.087537125,0.047119282,0.035060305,0.12197278,0.08066763,0.034526356,0.5931166
1240009142,0.09421001,0.21546791,0.23084101,0.07817342,0.09742973,0.20802902,0.07584897
1240018052,0.079716,0.24865282,0.23814821,0.11580122,0.13939221,0.049448386,0.12884118
1240019053,0.04187895,0.042859953,0.20563501,0.060352154,0.10493488,0.16914375,0.37519532
1250034252,0.04954269,0.04206287,0.22656697,0.023231117,0.27414942,0.18039943,0.20404747
1250051122,0.13959867,0.19978516,0.18812603,0.024524162,0.16411075,0.11343839,0.17041685
1250064892,0.08483936,0.3719509,0.10044593,0.023336647,0.035157926,0.054789826,0.3294794
1270003322,0.13513327,0.20246051,0.0588925,0.42452157,0.041346315,0.023766572,0.113879345
1270024123,0.19326064,0.019780995,0.010802978,0.5701294,0.018690644,0.062457148,0.124878265
1270028303,0.05291574,0.2096397,0.22875355,0.34877807,0.054731496,0.04981046,0.05537093
1270040752,0.023935681,0.12532558,0.14508326,0.039703492,0.16751981,0.13984893,0.35858327
1270041163,0.015828993,0.13774116,0.5644271,0.08474804,0.13899554,0.02684847,0.03141079
1270045763,0.19971977,0.08249329,0.072485805,0.047666594,0.25226215,0.09364635,0.25172606
1270054173,0.044056382,0.045644395,0.07793206,0.08850135,0.29186,0.082221575,0.36978415
1310000402,0.09807664,0.08257189,0.34579438,0.04543671,0.1425938,0.06985448,0.21567208
1310005562,0.44227996,0.03854208,0.056383796,0.07048085,0.09776627,0.24180596,0.052741025
1320012743,0.12842086,0.067439094,0.13110669,0.10406072,0.16864449,0.14905003,0.25127816
1320015733,0.16357914,0.16526958,0.084840536,0.17632923,0.14048989,0.097123936,0.17236778
1320015883,0.17764857,0.0107011665,0.016662281,0.08042863,0.06046072,0.28829378,0.36580488
1320018042,0.17096634,0.05096433,0.47387344,0.016077045,0.11143111,0.06339422,0.11329353
1320022222,0.08132397,0.034855157,0.12975709,0.2726407,0.0444378,0.20925085,0.2277343
1320023692,0.2012131,0.01822448,0.116075106,0.14618511,0.15426058,0.09324844,0.27079323
1320023702,0.14945877,0.070883386,0.09780097,0.16985787,0.17122321,0.11797044,0.22280534
1320026362,0.17926124,0.351437,0.033898555,0.052194405,0.05883753,0.26476663,0.059604652
1320028172,0.022135692,0.16491881,0.1323652,0.15557261,0.07714178,0.3121287,0.1357372
1320029763,0.17179435,0.004091746,0.06012815,0.09713822,0.34501976,0.058415953,0.2634118
1320030072,0.11533933,0.45728323,0.15624675,0.08398229,0.040315107,0.04789356,0.0989397
1320031272,0.33530942,0.06913507,0.03360196,0.017579665,0.1318414,0.094273426,0.31825906
1320031292,0.035775416,0.18628582,0.05882199,0.25743607,0.033595785,0.14664643,0.28143844
1320035402,0.14907433,0.13325372,0.143284,0.13619459,0.20479551,0.05933006,0.1740678
