lake_id,arc1,arc2,arc3,arc4,arc5,arc6,arc7,arc8,arc9
1150000822,0.19115041,0.045700923,0.023222892,0.023659838,0.04273612,0.060241718,0.2628726,0.07650702,0.27390838
1150001092,0.10636466,0.032669283,0.047394145,0.15047234,0.02567583,0.2715493,0.018760968,0.24778424,0.09932915
1150002502,0.09161075,0.07389625,0.121551566,0.008322645,0.2747301,0.043799076,0.26742175,0.039884273,0.07878359
1150002592,0.0488751,0.040308103,0.3180371,0.011306369,0.01526659,0.034120712,0.12125281,0.34997067,0.06086254
1150003802,0.15135197,0.09669647,0.036950678,0.029051144,0.0055734697,0.32725516,0.06795728,0.27010366,0.015060254
1150004092,0.20152558,0.073448375,0.05924541,0.35268477,0.08710802,0.06653007,0.1156815,0.009582203,0.03419409
1150005262,0.048999608,0.2635456,0.15003657,0.07702314,0.067776494,0.16428849,0.10279925,0.031816773,0.09371409
1150005972,0.047523327,0.23411214,0.028528051,0.20388448,0.031045128,0.24085873,0.10348284,0.07609452,0.03447068
1150007303,0.07687131,0.050300248,0.16121273,0.033080533,0.094475515,0.34111536,0.07636674,0.10144604,0.0651315
1150008142,0.113157324,0.14050041,0.04931792,0.21083829,0.08409219,0.04415057,0.31137073,0.011180424,0.035392106
1160000282,0.0764621,0.13964336,0.14124829,0.085265234,0.16732278,0.08242225,0.13553202,0.094168305,0.07793569
1170006442,0.025259962,0.031738948,0.08800389,0.5218837,0.006253479,0.058520373,0.010580108,0.010480404,0.24727897
1170013163,0.15694627,0.28912413,0.06160674,0.0054139374,0.034421455,0.030232277,0.10504597,0.06252533,0.25468376
1170013972,0.21709533,0.07880129,0.07612051,0.26080468,0.055665847,0.054993637,0.13636242,0.101642534,0.018513817
1170014783,0.21140856,0.15661539,0.21369244,0.12022876,0.020259064,0.12600653,0.022034686,0.069658615,0.060095955
1220005463,0.123805,0.0917737,0.042574897,0.090224594,0.09756064,0.16978666,0.20961034,0.07822447,0.09643969
1220013612,0.08959014,0.17206131,0.025477093,0.15338203,0.09040136,0.024689706,0.01530527,0.3272787,0.1018144
1220053053,0.15876494,0.1695272,0.09500793,0.11565204,0.073233224,0.116223566,0.08555857,0.058269642,0.12776288
1220056833,0.19243988,0.045587998,0.14894328,0.32072625,0.030864635,0.08474553,0.039201226,0.07101891,0.06647232
1220056903,0.098321155,0.058453564,0.17390044,0.122324355,0.09102746,0.09493154,0.14489697,0.09587216,0.1202723
1230003032,0.38973606,0.044723496,0.02750682,0.058356304,0.06873034,0.09962426,0.093642965,0.16549093,0.052188877
1230009732,0.1320522,0.038805366,0.18884136,0.1486351,0.09239484,0.079717726,0.0779527,0.17805491,0.063545726
1240009142,0.053339332,0.028859753,0.23244111,0.026029546,0.017319735,0.024728648,0.19143437,0.042382773,0.3834647
1240018052,0.051855963,0.09244283,0.064426206,0.08428237,0.5308997,0.041981384,0.033637978,0.015693594,0.08477994
