lake_id,arc1,arc2,arc3,arc4,arc5,arc6,arc7,arc8
1150000822,0.13133146,0.032932594,0.051823173,0.24681346,0.10200016,0.047096275,0.05302912,0.33497378
1150001092,0.049051937,0.05428237,0.07191095,0.0782952,0.02651816,0.15282261,0.21488635,0.35223246
1150002502,0.2498374,0.35741258,0.044963792,0.000795801,0.022460416,0.25341278,0.046457592,0.024659673
1150002592,0.29791206,0.044306833,0.1408365,0.0042674397,0.028340928,0.2905796,0.043002024,0.15075462
1150003802,0.19730884,0.24625178,0.018610785,0.0026415864,0.2740537,0.09479627,0.1227308,0.043606225
1150004092,0.11958445,0.06466705,0.11970628,0.09688263,0.15395463,0.2634443,0.087959036,0.09380165
1150005262,0.2060107,0.084634244,0.092831545,0.020735692,0.1149296,0.22384557,0.082718536,0.17429405
1150005972,0.046076845,0.022490466,0.046619516,0.10649444,0.31061915,0.21737528,0.041028347,0.20929596
1150007303,0.20307347,0.025921592,0.012589922,0.013795266,0.41158503,0.11129973,0.02165597,0.200079
1150008142,0.0772746,0.14333268,0.14735337,0.11359576,0.056803323,0.013119451,0.041904718,0.40661606
1160000282,0.18665123,0.04931473,0.050523672,0.03451426,0.17673746,0.11635561,0.04786819,0.3380349
1170006442,0.4405986,0.0047272122,0.023723276,0.063715674,0.295248,0.08531032,0.037573703,0.0491032
1170013163,0.25784868,0.016645508,0.21011771,0.009177728,0.053449206,0.15184113,0.02428727,0.2766327
1170013972,0.3261088,0.006906176,0.009300191,0.010999252,0.12378957,0.3681229,0.13253717,0.022235932
1170014783,0.22382037,0.0047392566,0.028046502,0.057928026,0.24573965,0.21622369,0.056859847,0.16664274
1220005463,0.20715669,0.025751717,0.02927336,0.022136468,0.27462345,0.16137245,0.024758277,0.25492758
1220013612,0.21952796,0.15250982,0.05074403,0.0037475931,0.11588916,0.14957699,0.066010095,0.2419943
1220053053,0.29115066,0.01776856,0.0124060735,0.018523384,0.26526192,0.30348077,0.013148979,0.07825966
